No of commenced toilet photo,No of Application verified, No of application Approved, No of application pullback, No of application not verified, No of application pullback,No. of Constructed Toilet Photo through Swachhalaya,ULB,No. of Constructed Toilet Photo	No. of Commenced Toilet Photo,No. of Applications Received,District, No. of Applications Approved having Aadhar No,lambda,State
2,1778,1778,1,53,2375,1,Chittoor (M),1780,Chittoor,4207,1777,0,Andhra Pradesh
0,687,687,0,20,3171,0,Madanapalle (M),687,Chittoor,3878,687,0,Andhra Pradesh
0,1247,1247,0,57,1076,0,Nagari (M),1248,Chittoor,2380,1244,0,Andhra Pradesh
0,235,235,0,9,160,0,Palamaner (M),235,Chittoor,404,235,0,Andhra Pradesh
0,551,551,0,27,522,0,Punganur (M),552,Chittoor,1100,551,0,Andhra Pradesh
0,1206,1206,0,42,941,0,Puttur (M),1206,Chittoor,2189,1206,0,Andhra Pradesh
1,727,727,0,42,856,0,Srikalahasti (M),728,Chittoor,1625,727,0,Andhra Pradesh
0,523,523,0,1,782,1,Tirupati (M Corp.),523,Chittoor,1306,518,0,Andhra Pradesh
0,236,236,0,8,276,0,Amalapuram (M),238,East Godavari,520,236,0,Andhra Pradesh
0,827,827,0,72,538,0,Gollaprolu,827,East Godavari,1437,827,0,Andhra Pradesh
0,4061,4061,0,66,3080,2,Kakinada (M Corp.),4062,East Godavari,7207,4058,0,Andhra Pradesh
0,309,309,0,11,273,0,Mandapeta (M),309,East Godavari,593,308,0,Andhra Pradesh
0,1669,1669,0,75,1144,0,MUMMIDIVARAM,1669,East Godavari,2888,1668,0,Andhra Pradesh
0,740,740,0,30,281,0,Peddapuram (M),740,East Godavari,1051,739,0,Andhra Pradesh
0,1242,1242,0,20,1224,0,Pithapuram (M),1243,East Godavari,2486,1241,0,Andhra Pradesh
0,958,958,0,24,542,0,Rajahmundry (M Corp.),958,East Godavari,1524,956,0,Andhra Pradesh
0,1020,1020,0,123,785,2,Ramachandrapuram (M),1020,East Godavari,1928,1014,0,Andhra Pradesh
0,1024,1024,0,28,599,0,Samalkot (M),1024,East Godavari,1651,1022,0,Andhra Pradesh
1,366,366,0,23,248,0,Tuni (M),366,East Godavari,637,366,0,Andhra Pradesh
